ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,RegistryPathIntune,RegistryPathDCP,RegistryItemIntune,ClassName,Namespace,Property,DefaultValue,DefaultValueIntune,RecommendedValue,RecommendedValueIntune,Operator,OperatorIntune,Severity,Filter
225,"Security Options","Devices: Prevent users from installing printer drivers",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers",AddPrinterDrivers,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\LocalPoliciesSecurityOptions,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\LocalPoliciesSecurityOptions,Devices_PreventUsersFromInstallingPrinterDriversWhenConnectingToSharedPrinters,,,,0,,1,,=,,Medium,
281,"User Rights Assignment","Log on as a service",accesschk,SeServiceLogonRight,,,,,,,,,"NT SERVICE\ALL SERVICES;NT AUTHORITY\NETWORK SERVICE",,,,=,,Medium,
281,"User Rights Assignment","Log on as a service (Hyper-V)",accesschk,SeServiceLogonRight,,,,,,,,,"S-1-5-83-0;NT SERVICE\ALL SERVICES;NT AUTHORITY\NETWORK SERVICE",,"NT VIRTUAL MACHINE\Virtual Machines",,=,,Medium,
283,"User Rights Assignment","Log on as a batch job",accesschk,SeBatchLogonRight,,,,,,,,,"BUILTIN\Performance Log Users;BUILTIN\Backup Operators;BUILTIN\Administrators",,BUILTIN\Administrators,,=,,Medium,
228,"Security Options","Interactive logon: Number of previous logons to cache (in case domain controller is not available)",Registry,,"HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon",CachedLogonsCount,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\LocalPoliciesSecurityOptions,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\LocalPoliciesSecurityOptions,InteractiveLogon_NumberOfPreviousLogonsToCache,,,,10,,4,,<=,,Medium,
274,"Security Options","System cryptography: Force strong key protection for user keys stored on the computer",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Cryptography,ForceKeyProtection,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\LocalPoliciesSecurityOptions,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\LocalPoliciesSecurityOptions,SystemCryptography_ForceStrongKeyProtection,,,,,,1,,>=,,Medium,
273,"Security Options","System settings: Optional subsystems",Registry,,"HKLM:\System\CurrentControlSet\Control\Session Manager\Subsystems",Optional,,,,,,,,,,,=,,Medium,
250,"Security Options","Network security: Restrict NTLM: Outgoing NTLM traffic to remote servers",Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,RestrictSendingNTLMTraffic,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\LocalPoliciesSecurityOptions,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\LocalPoliciesSecurityOptions,NetworkSecurity_RestrictNTLM_OutgoingNTLMTrafficToRemoteServers,,,,0,,2,,=,,Medium,
251,"Security Options","Network security: Restrict NTLM: Incoming NTLM traffic",Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,RestrictReceivingNTLMTraffic,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\LocalPoliciesSecurityOptions,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\LocalPoliciesSecurityOptions,NetworkSecurity_RestrictNTLM_IncomingNTLMTraffic,,,,,,2,,=,,Medium,
318,"System Services","Bluetooth Audio Gateway Service (BTAGService)",Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\BTAGService,Start,,,,,,,3,,4,,=,,Medium,
318,"System Services","Bluetooth Audio Gateway Service (BTAGService) (Service Startup type)",service,BTAGService,,,,,,,,,Manual,,Disabled,,=,,Medium,
319,"System Services","Bluetooth Support Service (bthserv)",Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\bthserv,Start,,,,,,,3,,4,,=,,Medium,
319,"System Services","Bluetooth Support Service (bthserv) (Service Startup type)",service,bthserv,,,,,,,,,Manual,,Disabled,,=|0,,Medium,
330,"System Services","Microsoft Store Install Service (InstallService)",Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\InstallService,Start,,,,,,,3,,4,,=,,Medium,
330,"System Services","Microsoft Store Install Service (InstallService) (Service Startup type)",service,InstallService,,,,,,,,,Manual,,Disabled,,=,,Medium,
340,"System Services","Server (LanmanServer)",Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer,Start,,,,,,,2,,4,,=,,Medium,
340,"System Services","Server (LanmanServer) (Service Startup type)",service,LanmanServer,,,,,,,,,Automatic,,Disabled,,=,,Medium,
322,"System Services","Geolocation Service (lfsvc)",Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\lfsvc,Start,,,,,,,3,,4,,=,,Medium,
322,"System Services","Geolocation Service (lfsvc) (Service Startup type)",service,lfsvc,,,,,,,,,Manual,,Disabled,,=|0,,Medium,
346,"System Services","Link-Layer Topology Discovery Mapper (lltdsvc)",Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\lltdsvc,Start,,,,,,,3,,4,,=,,Medium,
