Id,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,RegistryPathIntune,RegistryPathDCP,RegistryItemIntune,ClassName,Namespace,Property,DefaultValue,DefaultValueIntune
1621,".NET Framework: TLS Settings","Use Strong Crypto  (v2.0.50727)",Registry,,HKLM:\SOFTWARE\Microsoft\.NETFramework\v2.0.50727,SchUseStrongCrypto,,,,,,,,
1619,".NET Framework: TLS Settings","Use Strong Crypto  (v2.0.50727, 32bit)",Registry,,HKLM:\SOFTWARE\Wow6432Node\Microsoft\.NETFramework\v2.0.50727,SchUseStrongCrypto,,,,,,,,
1617,".NET Framework: TLS Settings","Use Strong Crypto  (v4.0.30319)",Registry,,HKLM:\SOFTWARE\Microsoft\.NETFramework\v4.0.30319,SchUseStrongCrypto,,,,,,,,
1615,".NET Framework: TLS Settings","Use Strong Crypto  (v4.0.30319, 32bit)",Registry,,HKLM:\SOFTWARE\Wow6432Node\Microsoft\.NETFramework\v4.0.30319,SchUseStrongCrypto,,,,,,,,
1620,".NET Framework: TLS Settings","Use System Default TLS Versions (v2.0.50727)",Registry,,HKLM:\SOFTWARE\Microsoft\.NETFramework\v2.0.50727,SystemDefaultTlsVersions,,,,,,,,
1618,".NET Framework: TLS Settings","Use System Default TLS Versions (v2.0.50727, 32bit)",Registry,,HKLM:\SOFTWARE\Wow6432Node\Microsoft\.NETFramework\v2.0.50727,SystemDefaultTlsVersions,,,,,,,,
1616,".NET Framework: TLS Settings","Use System Default TLS Versions (v4.0.30319)",Registry,,HKLM:\SOFTWARE\Microsoft\.NETFramework\v4.0.30319,SystemDefaultTlsVersions,,,,,,,,
1614,".NET Framework: TLS Settings","Use System Default TLS Versions (v4.0.30319, 32bit)",Registry,,HKLM:\SOFTWARE\Wow6432Node\Microsoft\.NETFramework\v4.0.30319,SystemDefaultTlsVersions,,,,,,,,
2,"Account Policies","Account lockout duration",accountpolicy,,,,,,,,,,30,
3,"Account Policies","Account lockout threshold",accountpolicy,,,,,,,,,,Never,
1695,"Account Policies","Allow Administrator account lockout",secedit,"System Access\AllowAdministratorLockout",,,,,,,,,1,
338,"Account Policies","Length of password history maintained",accountpolicy,,,,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\DeviceLock,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\DeviceLock,DevicePasswordHistory,,,,None,
339,"Account Policies","Maximum password age",accountpolicy,,,,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\DeviceLock,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\DeviceLock,DevicePasswordExpiration,,,,42,
340,"Account Policies","Minimum password age",accountpolicy,,,,,,,,,,0,
341,"Account Policies","Minimum password length",accountpolicy,,,,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\DeviceLock,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\DeviceLock,MinDevicePasswordLength,,,,0,
342,"Account Policies","Password must meet complexity requirements",secedit,"System Access\PasswordComplexity",,,,,,,,,0,
343,"Account Policies","Relax minimum password length limits",Registry,,HKLM:\System\CurrentControlSet\Control\SAM,RelaxMinimumPasswordLengthLimits,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\DeviceLock,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\DeviceLock,RelaxMinimumPasswordLengthLimits,,,,0,0
4,"Account Policies","Reset account lockout counter",accountpolicy,,,,,,,,,,30,
344,"Account Policies","Store passwords using reversible encryption",secedit,"System Access\ClearTextPassword",,,,,,,,,0,
530,"Administrative Templates: Control Panel","Allow Online Tips",Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer,AllowOnlineTips,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\Settings,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\Settings,AllowOnlineTips,,,,1,
735,"Administrative Templates: Control Panel","Enable screen saver",Registry,,"HKCU:\Software\Policies\Microsoft\Windows\Control Panel\Desktop",ScreenSaveActive,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_ControlPanelDisplay,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_ControlPanelDisplay,CPL_Personalization_EnableScreenSaver,,,,,
801,"Administrative Templates: Control Panel","Force specific screen saver: Screen saver executable name",Registry,,"HKCU:\Software\Policies\Microsoft\Windows\Control Panel\Desktop",SCRNSAVE.EXE,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_ControlPanelDisplay,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_ControlPanelDisplay,CPL_Personalization_SetScreenSaver,,,,,
736,"Administrative Templates: Control Panel","Password protect the screen saver",Registry,,"HKCU:\Software\Policies\Microsoft\Windows\Control Panel\Desktop",ScreenSaverIsSecure,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_ControlPanelDisplay,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_ControlPanelDisplay,CPL_Personalization_ScreenSaverIsSecure,,,,,
