ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity
1000,"Schannel: TLS Settings: Protocols","Server: Multi-Protocol Unified Hello",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\Multi-Protocol Unified Hello\Server",Enabled,,,,,0,=,High
1001,"Schannel: TLS Settings: Protocols","Server: Multi-Protocol Unified Hello (Disabledbydefault)",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\Multi-Protocol Unified Hello\Server",Disabledbydefault,,,,,1,=,High
1002,"Schannel: TLS Settings: Protocols","Client: Multi-Protocol Unified Hello",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\Multi-Protocol Unified Hello\Client",Enabled,,,,,0,=,High
1003,"Schannel: TLS Settings: Protocols","Client: Multi-Protocol Unified Hello (Disabledbydefault)",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\Multi-Protocol Unified Hello\Client",Disabledbydefault,,,,,1,=,High
1004,"Schannel: TLS Settings: Protocols","Server: PCT",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\PCT 1.0\Server",Enabled,,,,,0,=,High
1005,"Schannel: TLS Settings: Protocols","Server: PCT (Disabledbydefault)",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\PCT 1.0\Server",Disabledbydefault,,,,,1,=,High
1006,"Schannel: TLS Settings: Protocols","Client: PCT",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\PCT 1.0\Client",Enabled,,,,,0,=,High
1007,"Schannel: TLS Settings: Protocols","Client: PCT (Disabledbydefault)",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\PCT 1.0\Client",Disabledbydefault,,,,,1,=,High
1008,"Schannel: TLS Settings: Protocols","Server: SSLv2.0",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\SSL 2.0\Server",Enabled,,,,,0,=,High
1009,"Schannel: TLS Settings: Protocols","Server: SSLv2.0 (Disabledbydefault)",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\SSL 2.0\Server",Disabledbydefault,,,,,1,=,High
1010,"Schannel: TLS Settings: Protocols","Client: SSLv2.0",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\SSL 2.0\Client",Enabled,,,,,0,=,High
1011,"Schannel: TLS Settings: Protocols","Client: SSLv2.0 (Disabledbydefault)",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\SSL 2.0\Client",Disabledbydefault,,,,,1,=,High
1012,"Schannel: TLS Settings: Protocols","Server: SSLv3.0",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\SSL 3.0\Server",Enabled,,,,,0,=,High
1013,"Schannel: TLS Settings: Protocols","Server: SSLv3.0 (Disabledbydefault)",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\SSL 3.0\Server",Disabledbydefault,,,,,1,=,High
1014,"Schannel: TLS Settings: Protocols","Client: SSLv3.0",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\SSL 3.0\Client",Enabled,,,,,0,=,High
1015,"Schannel: TLS Settings: Protocols","Client: SSLv3.0 (Disabledbydefault)",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\SSL 3.0\Client",Disabledbydefault,,,,,1,=,High
1016,"Schannel: TLS Settings: Protocols","Server: TLSv1.0",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\TLS 1.0\Server",Enabled,,,,,0,=,Medium
1017,"Schannel: TLS Settings: Protocols","Server: TLSv1.0 (Disabledbydefault)",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\TLS 1.0\Server",Disabledbydefault,,,,,1,=,Medium
1018,"Schannel: TLS Settings: Protocols","Client: TLSv1.0",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\TLS 1.0\Client",Enabled,,,,,0,=,Medium
1019,"Schannel: TLS Settings: Protocols","Client: TLSv1.0 (Disabledbydefault)",Registry,,"HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\TLS 1.0\Client",Disabledbydefault,,,,,1,=,Medium
