"ID","Category","Name","Method","MethodArgument","RegistryPath","RegistryItem","ClassName","Namespace","Property","DefaultValue","RecommendedValue","Operator","Severity"
10000,"Account Lockout","Account lockout duration","accountpolicy",,,,,,,,15,">=","Low"
10001,"Account Lockout","Account lockout threshold","accountpolicy",,,,,,,0,10,"<=","Low"
10002,"Account Lockout","Reset account lockout counter","accountpolicy",,,,,,,,15,">=","Low"
10100,"Password Policy","Length of password history maintained","accountpolicy",,,,,,,,24,">=","Low"
10101,"Password Policy","Minimum password length","accountpolicy",,,,,,,,14,">=","Medium"
10102,"Password Policy","Password must meet complexity requirements","secedit","Complexity",,,,,,0,1,"=","Medium"
10103,"Password Policy","Store passwords using reversible encryption","secedit","ClearTextPassword",,,,,,0,0,"=","High"
10200,"Security Options","Accounts: Limit local account use of blank passwords to console logon only","Registry",,"HKLM:\System\CurrentControlSet\Control\Lsa","LimitBlankPasswordUse",,,,1,1,"=","Medium"
10201,"Security Options","Audit: Force audit policy subcategory settings to override audit policy category settings","Registry",,"HKLM:\System\CurrentControlSet\Control\Lsa","SCENoApplyLegacyAuditPolicy",,,,1,1,"=","Low"
10202,"Security Options","Domain member: Digitally encrypt or sign secure channel data (always)","Registry",,"HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters","RequireSignOrSeal",,,,1,1,"=","Medium"
10203,"Security Options","Domain member: Digitally encrypt secure channel data (when possible)","Registry",,"HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters","SealSecureChannel",,,,1,1,"=","Medium"
10204,"Security Options","Domain member: Digitally sign secure channel data (when possible)","Registry",,"HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters","SignSecureChannel",,,,1,1,"=","Medium"
10205,"Security Options","Domain member: Disable machine account password changes","Registry",,"HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters","DisablePasswordChange",,,,0,0,"=","Medium"
10206,"Security Options","Domain member: Maximum machine account password age","Registry",,"HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters","MaximumPasswordAge",,,,30,30,"<=","Medium"
10207,"Security Options","Domain member: Require strong (Windows 2000 or later) session key","Registry",,"HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters","RequireStrongKey",,,,1,1,"=","Medium"
10208,"Security Options","Interactive logon: Machine inactivity limit","Registry",,"HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System","InactivityTimeoutSecs",,,,900,900,"=","Low"
10209,"Security Options","Interactive logon: Smart card removal behavior","Registry",,"HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon","ScRemoveOption",,,,0,1,"=","Low"
10210,"Security Options","Microsoft network client: Digitally sign communications (always)","Registry",,"HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters","RequireSecuritySignature",,,,0,1,"=","Medium"
10211,"Security Options","Microsoft network client: Send unencrypted password to third-party SMB servers","Registry",,"HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters","EnablePlainTextPassword",,,,0,0,"=","Medium"
10212,"Security Options","Microsoft network server: Digitally sign communications (always)","Registry",,"HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters","RequireSecuritySignature",,,,0,1,"=","Medium"
10213,"Security Options","Network access: Allow anonymous SID/Name translation","secedit","LSAAnonymousNameLookup",,,,,,0,0,"=","Medium"
10214,"Security Options","Network access: Do not allow anonymous enumeration of SAM accounts","Registry",,"HKLM:\System\CurrentControlSet\Control\Lsa","RestrictAnonymousSAM",,,,1,1,"=","Medium"
10215,"Security Options","Network access: Do not allow anonymous enumeration of SAM accounts and shares","Registry",,"HKLM:\System\CurrentControlSet\Control\Lsa","RestrictAnonymous",,,,0,1,"=","Medium"
10216,"Security Options","Network access: Restrict anonymous access to Named Pipes and Shares","Registry",,"HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters","RestrictNullSessAccess",,,,1,1,"=","Medium"
10217,"Security Options","Network access: Restrict clients allowed to make remote calls to SAM","Registry",,"HKLM:\System\CurrentControlSet\Control\Lsa","RestrictRemoteSAM",,,,"","O:BAG:BAD:(A;;RC;;;BA)","=","Medium"
10218,"Security Options","Network security: Allow LocalSystem NULL session fallback","Registry",,"HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0","allownullsessionfallback",,,,0,0,"=","Medium"
10219,"Security Options","Network security: Do not store LAN Manager hash value on next password change","Registry",,"HKLM:\System\CurrentControlSet\Control\Lsa","NoLMHash",,,,1,1,"=","High"
10220,"Security Options","Network security: LAN Manager authentication level","Registry",,"HKLM:\System\CurrentControlSet\Control\Lsa","LmCompatibilityLevel",,,,3,5,"=","Medium"
10221,"Security Options","Network security: LDAP client signing requirements","Registry",,"HKLM:\System\CurrentControlSet\Services\LDAP","LDAPClientIntegrity",,,,1,1,">=","Medium"
10222,"Security Options","Network security: Minimum session security for NTLM SSP based (including secure RPC) clients","Registry",,"HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0","NTLMMinClientSec",,,,536870912,537395200,"=","Medium"
10223,"Security Options","Network security: Minimum session security for NTLM SSP based (including secure RPC) servers","Registry",,"HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0","NTLMMinServerSec",,,,536870912,537395200,"=","Medium"
10224,"Security Options","Network security: System objects: Strengthen default permissions of internal system objects (e.g. Symbolic Links)","Registry",,"HKLM:\System\CurrentControlSet\Control\Session Manager","ProtectionMode",,,,1,1,"=","Medium"
10225,"Security Options","User Account Control: Admin Approval Mode for the Built-in Administrator account","Registry",,"HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","FilterAdministratorToken",,,,0,1,"=","Medium"
10226,"Security Options","User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode","Registry",,"HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","ConsentPromptBehaviorAdmin",,,,0,5,"=","Medium"
10227,"Security Options","User Account Control: Behavior of the elevation prompt for standard users","Registry",,"HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","ConsentPromptBehaviorUser",,,,0,0,"=","Medium"
10228,"Security Options","User Account Control: Detect application installations and prompt for elevation","Registry",,"HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableInstallerDetection",,,,1,1,"=","Medium"
10229,"Security Options","User Account Control: Only elevate UIAccess applications that are installed in secure locations","Registry",,"HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableSecureUIAPaths",,,,1,1,"=","Medium"
10230,"Security Options","User Account Control: Run all administrators in Admin Approval Mode","Registry",,"HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableLUA",,,,1,1,"=","Medium"
10231,"Security Options","User Account Control: Virtualize file and registry write failures to per-user locations","Registry",,"HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableVirtualization",,,,1,1,"=","Medium"
10301,"User Rights Assignments","Access Credential Manager as a trusted caller","accesschk","SeTrustedCredManAccessPrivilege",,,,,,"","","=","Medium"
10302,"User Rights Assignments","Access this computer from the network","accesschk","SeNetworkLogonRight",,,,,,"BUILTIN\Administrators;BUILTIN\Backup Operators;BUILTIN\Users;Everyone","BUILTIN\Administrators;BUILTIN\Remote Desktop Users","=","Medium"
10303,"User Rights Assignments","Act as part of the operating system","accesschk","SeTcbPrivilege",,,,,,"","","=","Medium"
10304,"User Rights Assignments","Allow log on locally","accesschk","SeInteractiveLogonRight",,,,,,"BUILTIN\Administrators;BUILTIN\Backup Operators;BUILTIN\Users;Everyone","BUILTIN\Users;BUILTIN\Administrators","=","Medium"
10305,"User Rights Assignments","Back up files and directories","accesschk","SeBackupPrivilege",,,,,,"BUILTIN\Administrators;BUILTIN\Backup Operators","BUILTIN\Administrators","=","Medium"
10306,"User Rights Assignments","Create a pagefile","accesschk","SeCreatePagefilePrivilege",,,,,,"BUILTIN\Administrators","BUILTIN\Administrators","=","Medium"
10307,"User Rights Assignments","Create a token object","accesschk","SeCreateTokenPrivilege",,,,,,"","","=","Medium"
10308,"User Rights Assignments","Create global objects","accesschk","SeCreateGlobalPrivilege",,,,,,"NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE","NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE","=","Medium"
10309,"User Rights Assignments","Create permanent shared objects","accesschk","SeCreatePermanentPrivilege",,,,,,"","","=","Medium"
10310,"User Rights Assignments","Debug programs","accesschk","SeDebugPrivilege",,,,,,"BUILTIN\Administrators","BUILTIN\Administrators","=","Medium"
10311,"User Rights Assignments","Deny access to this computer from the network","accesschk","SeDenyNetworkLogonRight",,,,,,"BUILTIN\Guests","BUILTIN\Guests;NT AUTHORITY\Local account","=","Medium"
10312,"User Rights Assignments","Deny log on through Remote Desktop Services","accesschk","SeDenyServiceLogonRight",,,,,,,"BUILTIN\Guests;NT AUTHORITY\Local account","=","Medium"
10313,"User Rights Assignments","Enable computer and user accounts to be trusted for delegation","accesschk","SeEnableDelegationPrivilege",,,,,,"","","=","Medium"
10314,"User Rights Assignments","Force shutdown from a remote system","accesschk","SeRemoteShutdownPrivilege",,,,,,"BUILTIN\Administrators","BUILTIN\Administrators","=","Medium"
10315,"User Rights Assignments","Impersonate a client after authentication","accesschk","SeImpersonatePrivilege",,,,,,"NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE","NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE","=","Medium"
10316,"User Rights Assignments","Load and unload device drivers","accesschk","SeLoadDriverPrivilege",,,,,,"BUILTIN\Administrators","BUILTIN\Administrators","=","Medium"
10317,"User Rights Assignments","Lock pages in memory","accesschk","SeLockMemoryPrivilege",,,,,,"","","=","Medium"
10318,"User Rights Assignments","Manage auditing and security log","accesschk","SeSecurityPrivilege",,,,,,"BUILTIN\Administrators","BUILTIN\Administrators","=","Medium"
10319,"User Rights Assignments","Modify firmware environment values","accesschk","SeSystemEnvironmentPrivilege",,,,,,"BUILTIN\Administrators","BUILTIN\Administrators","=","Medium"
10320,"User Rights Assignments","Perform volume maintenance tasks","accesschk","SeManageVolumePrivilege",,,,,,"BUILTIN\Administrators","BUILTIN\Administrators","=","Medium"
10321,"User Rights Assignments","Profile single process","accesschk","SeProfileSingleProcessPrivilege",,,,,,"BUILTIN\Administrators","BUILTIN\Administrators","=","Medium"
10322,"User Rights Assignments","Restore files and directories","accesschk","SeRestorePrivilege",,,,,,"BUILTIN\Backup Operators;BUILTIN\Administrators","BUILTIN\Administrators","=","Medium"
10323,"User Rights Assignments","Take ownership of files or other objects","accesschk","SeTakeOwnershipPrivilege",,,,,,"BUILTIN\Administrators","BUILTIN\Administrators","=","Medium"
10400,"Advanced Audit Policy Configuration","Credential Validation","auditpol",,,,,,,,"Success and Failure","=","Low"
10401,"Advanced Audit Policy Configuration","Security Group Management","auditpol",,,,,,,"Success","Success","=","Low"
10402,"Advanced Audit Policy Configuration","User Account Management","auditpol",,,,,,,"Success","Success and Failure","=","Low"
10403,"Advanced Audit Policy Configuration","Plug and Play Events","auditpol",,,,,,,,"Success","=","Low"
10404,"Advanced Audit Policy Configuration","Process Creation","auditpol",,,,,,,,"Success","=","Low"
10405,"Advanced Audit Policy Configuration","Account Lockout","auditpol",,,,,,,"Success","Failure","=","Low"
10406,"Advanced Audit Policy Configuration","Group Membership","auditpol",,,,,,,,"Success","=","Low"
10407,"Advanced Audit Policy Configuration","Logon","auditpol",,,,,,,"Success","Success and Failure","=","Low"
10408,"Advanced Audit Policy Configuration","Other Logon/Logoff Events","auditpol",,,,,,,,"Success and Failure","=","Low"
10409,"Advanced Audit Policy Configuration","Special Logon","auditpol",,,,,,,"Success","Success","=","Low"
10410,"Advanced Audit Policy Configuration","Detailed File Share","auditpol",,,,,,,,"Failure","=","Low"
10411,"Advanced Audit Policy Configuration","File Share","auditpol",,,,,,,,"Success and Failure","=","Low"
10412,"Advanced Audit Policy Configuration","Kernel Object","auditpol",,,,,,,,"Success and Failure","=","Low"
10413,"Advanced Audit Policy Configuration","Other Object Access Events","auditpol",,,,,,,,"Success and Failure","=","Low"
10414,"Advanced Audit Policy Configuration","Removable Storage","auditpol",,,,,,,,"Success and Failure","=","Low"
10415,"Advanced Audit Policy Configuration","Audit Policy Change","auditpol",,,,,,,"Success","Success","=","Low"
10416,"Advanced Audit Policy Configuration","Authentication Policy Change","auditpol",,,,,,,"Success","Success","=","Low"
10417,"Advanced Audit Policy Configuration","MPSSVC Rule-Level Policy Change","auditpol",,,,,,,,"Success and Failure","=","Low"
10418,"Advanced Audit Policy Configuration","Other Policy Change Events","auditpol",,,,,,,,"Failure","=","Low"
10419,"Advanced Audit Policy Configuration","Sensitive Privilege Use","auditpol",,,,,,,,"Success and Failure","=","Low"
10420,"Advanced Audit Policy Configuration","Other System Events","auditpol",,,,,,,"Success and Failure","Success and Failure","=","Low"
10421,"Advanced Audit Policy Configuration","Security State Change","auditpol",,,,,,,"Success","Success","=","Low"
10422,"Advanced Audit Policy Configuration","Security System Extension","auditpol",,,,,,,,"Success","=","Low"
10423,"Advanced Audit Policy Configuration","System Integrity","auditpol",,,,,,,"Success and Failure","Success and Failure","=","Low"
10501,"Windows Firewall","EnableFirewall (Domain Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile","EnableFirewall",,,,0,1,"=","Medium"
10502,"Windows Firewall","EnableFirewall (Domain Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile","EnableFirewall",,,,0,1,"=","Medium"
10503,"Windows Firewall","Inbound Connections (Domain Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile","DefaultInboundAction",,,,1,1,"=","Medium"
10504,"Windows Firewall","Inbound Connections (Domain Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile","DefaultInboundAction",,,,1,1,"=","Medium"
10505,"Windows Firewall","Outbound Connections (Domain Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile","DefaultOutboundAction",,,,0,0,"=","Medium"
10506,"Windows Firewall","Outbound Connections (Domain Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile","DefaultOutboundAction",,,,0,0,"=","Medium"
10507,"Windows Firewall","Display a notification (Domain Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile","DisableNotifications",,,,0,0,"=","Low"
10508,"Windows Firewall","Display a notification (Domain Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile","DisableNotifications",,,,0,0,"=","Low"
10509,"Windows Firewall","Log size limit (Domain Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging","LogFileSize",,,,4096,16384,">=","Medium"
10510,"Windows Firewall","Log size limit (Domain Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging","LogFileSize",,,,4096,16384,">=","Medium"
10511,"Windows Firewall","Log dropped packets (Domain Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging","LogDroppedPackets",,,,0,1,"=","Medium"
10512,"Windows Firewall","Log dropped packets (Domain Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging","LogDroppedPackets",,,,0,1,"=","Medium"
10513,"Windows Firewall","Log successful connections (Domain Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging","LogSuccessfulConnections",,,,0,1,"=","Low"
10514,"Windows Firewall","Log successful connections (Domain Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging","LogSuccessfulConnections",,,,0,1,"=","Low"
10515,"Windows Firewall","EnableFirewall (Private Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","EnableFirewall",,,,0,1,"=","Medium"
10516,"Windows Firewall","EnableFirewall (Private Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile","EnableFirewall",,,,0,1,"=","Medium"
10517,"Windows Firewall","Inbound Connections (Private Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","DefaultInboundAction",,,,1,1,"=","Medium"
10518,"Windows Firewall","Inbound Connections (Private Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile","DefaultInboundAction",,,,1,1,"=","Medium"
10519,"Windows Firewall","Outbound Connections (Private Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","DefaultOutboundAction",,,,0,0,"=","Medium"
10520,"Windows Firewall","Outbound Connections (Private Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile","DefaultOutboundAction",,,,0,0,"=","Medium"
10521,"Windows Firewall","Display a notification (Private Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","DisableNotifications",,,,0,0,"=","Low"
10522,"Windows Firewall","Display a notification (Private Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile","DisableNotifications",,,,0,0,"=","Low"
10523,"Windows Firewall","Log size limit (Private Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogFileSize",,,,4096,16384,">=","Medium"
10524,"Windows Firewall","Log size limit (Private Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\Logging","LogFileSize",,,,4096,16384,">=","Medium"
10525,"Windows Firewall","Log dropped packets (Private Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogDroppedPackets",,,,0,1,"=","Medium"
10526,"Windows Firewall","Log dropped packets (Private Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\Logging","LogDroppedPackets",,,,0,1,"=","Medium"
10527,"Windows Firewall","Log successful connections (Private Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogSuccessfulConnections",,,,0,1,"=","Low"
10528,"Windows Firewall","Log successful connections (Private Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\Logging","LogSuccessfulConnections",,,,0,1,"=","Low"
10529,"Windows Firewall","EnableFirewall (Public Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","EnableFirewall",,,,0,1,"=","Medium"
10530,"Windows Firewall","EnableFirewall (Public Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile","EnableFirewall",,,,0,1,"=","Medium"
10531,"Windows Firewall","Inbound Connections (Public Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","DefaultInboundAction",,,,1,1,"=","Medium"
10532,"Windows Firewall","Inbound Connections (Public Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile","DefaultInboundAction",,,,1,1,"=","Medium"
10533,"Windows Firewall","Outbound Connections (Public Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","DefaultOutboundAction",,,,0,0,"=","Medium"
10534,"Windows Firewall","Outbound Connections (Public Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile","DefaultOutboundAction",,,,0,0,"=","Medium"
10535,"Windows Firewall","Display a notification (Public Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","DisableNotifications",,,,0,0,"=","Low"
10536,"Windows Firewall","Display a notification (Public Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile","DisableNotifications",,,,0,0,"=","Low"
10537,"Windows Firewall","Apply local firewall rules (Public Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","AllowLocalPolicyMerge",,,,0,0,"=","Low"
10538,"Windows Firewall","Apply local connection security rules (Public Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","AllowLocalIPsecPolicyMerge",,,,0,0,"=","Low"
10539,"Windows Firewall","Log size limit (Public Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging","LogFileSize",,,,4096,16384,">=","Medium"
10540,"Windows Firewall","Log size limit (Public Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile\Logging","LogFileSize",,,,4096,16384,">=","Medium"
10541,"Windows Firewall","Log dropped packets (Public Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging","LogDroppedPackets",,,,0,1,"=","Medium"
10542,"Windows Firewall","Log dropped packets (Public Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile\Logging","LogDroppedPackets",,,,0,1,"=","Medium"
10543,"Windows Firewall","Log successful connections (Public Profile, Policy)","Registry",,"HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging","LogSuccessfulConnections",,,,0,1,"=","Low"
10544,"Windows Firewall","Log successful connections (Public Profile)","Registry",,"HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile\Logging","LogSuccessfulConnections",,,,0,1,"=","Low"
