ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,RegistryPathIntune,RegistryPathDCP,RegistryItemIntune,ClassName,Namespace,Property,DefaultValue,DefaultValueIntune,RecommendedValue,RecommendedValueIntune,Operator,OperatorIntune,Severity,Filter
1015,"Administrative Templates: Windows Components","Microsoft Edge: Allow unconfigured sites to be reloaded in Internet Explorer mode",Registry,,HKLM:\Software\Policies\Microsoft\Edge,InternetExplorerIntegrationReloadInIEModeAllowed,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edgev92~Policy~microsoft_edge,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edgev92~Policy~microsoft_edge,InternetExplorerIntegrationReloadInIEModeAllowed,,,,,,0,,=,,Low,
1000,"Administrative Templates: Windows Components","Microsoft Edge: Allow users to proceed from the HTTPS warning page",Registry,,HKLM:\Software\Policies\Microsoft\Edge,SSLErrorOverrideAllowed,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edge~Policy~microsoft_edge,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edge~Policy~microsoft_edge,SSLErrorOverrideAllowed,,,,1,,0,,=,,Low,
1024,"Administrative Templates: Windows Components","Microsoft Edge: Allow using the deprecated U2F Security Key API (deprecated)",Registry,,HKLM:\Software\Policies\Microsoft\Edge,U2fSecurityKeyApiEnabled,,,,,,,,,0,,=,,Low,
1018,"Administrative Templates: Windows Components","Microsoft Edge: Enable 3DES cipher suites in TLS",Registry,,HKLM:\Software\Policies\Microsoft\Edge,TripleDESEnabled,,,,,,,,,0,,=,,Low,
1019,"Administrative Templates: Windows Components","Microsoft Edge: Enable browser legacy extension point blocking",Registry,,HKLM:\Software\Policies\Microsoft\Edge,BrowserLegacyExtensionPointsBlockingEnabled,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edgev95~Policy~microsoft_edge,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edgev95~Policy~microsoft_edge,BrowserLegacyExtensionPointsBlockingEnabled,,,,,,1,,=,,Low,
1001,"Administrative Templates: Windows Components","Microsoft Edge: Enable site isolation for every site",Registry,,HKLM:\Software\Policies\Microsoft\Edge,SitePerProcess,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edge~Policy~microsoft_edge,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edge~Policy~microsoft_edge,SitePerProcess,,,,0,,1,,=,,Low,
1023,"Administrative Templates: Windows Components","Microsoft Edge: Enhance images enabled",Registry,,HKLM:\Software\Policies\Microsoft\Edge,EdgeEnhanceImagesEnabled,,,,,,,,,0,,=,,Low,
1025,"Administrative Templates: Windows Components","Microsoft Edge: Force WebSQL to be enabled",Registry,,HKLM:\Software\Policies\Microsoft\Edge,WebSQLAccess,,,,,,,,,0,,=,,Low,
1002,"Administrative Templates: Windows Components","Microsoft Edge: Minimum TLS version enabled",Registry,,HKLM:\Software\Policies\Microsoft\Edge,SSLVersionMin,,,,,,,0,,tls1.2,,=,,Medium,
1021,"Administrative Templates: Windows Components","Microsoft Edge: Show the Reload in Internet Explorer mode button in the toolbar",Registry,,HKLM:\Software\Policies\Microsoft\Edge,InternetExplorerModeToolbarButtonEnabled,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edgev96~Policy~microsoft_edge,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edgev96~Policy~microsoft_edge,InternetExplorerModeToolbarButtonEnabled,,,,,,0,,=,,Low,
