ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,RegistryPathIntune,RegistryPathDCP,RegistryItemIntune,ClassName,Namespace,Property,DefaultValue,DefaultValueIntune,RecommendedValue,RecommendedValueIntune,Operator,OperatorIntune,Severity,Filter
1000,"Administrative Templates: Windows Components","Microsoft Edge: Allow users to proceed from the HTTPS warning page",Registry,,HKLM:\Software\Policies\Microsoft\Edge,SSLErrorOverrideAllowed,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edge~Policy~microsoft_edge,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edge~Policy~microsoft_edge,SSLErrorOverrideAllowed,,,,1,,0,,=,,Low,
1001,"Administrative Templates: Windows Components","Microsoft Edge: Enable site isolation for every site",Registry,,HKLM:\Software\Policies\Microsoft\Edge,SitePerProcess,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edge~Policy~microsoft_edge,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edge~Policy~microsoft_edge,SitePerProcess,,,,0,,1,,=,,Low,
1002,"Administrative Templates: Windows Components","Microsoft Edge: Minimum TLS version enabled",Registry,,HKLM:\Software\Policies\Microsoft\Edge,SSLVersionMin,,,,,,,0,,tls1.2,,=,,Medium,
1003,"Administrative Templates: Windows Components","Microsoft Edge: Default Adobe Flash setting (obsolete)",Registry,,HKLM:\Software\Policies\Microsoft\Edge,DefaultPluginsSetting,,,,,,,0,,2,,=,,Low,
1004,"Administrative Templates: Windows Components","Microsoft Edge: Control which extensions cannot be installed",Registry,,HKLM:\Software\Policies\Microsoft\Edge\ExtensionInstallBlocklist,1,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edge~Policy~microsoft_edge~Extensions,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edge~Policy~microsoft_edge~Extensions,ExtensionInstallBlocklist,,,,0,,*,,=,,Low,
1005,"Administrative Templates: Windows Components","Microsoft Edge: Supported authentication schemes",Registry,,HKLM:\Software\Policies\Microsoft\Edge,AuthSchemes,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edge~Policy~microsoft_edge~HTTPAuthentication,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edge~Policy~microsoft_edge~HTTPAuthentication,AuthSchemes,,,,0,,"ntlm,negotiate",,=,,Low,
1006,"Administrative Templates: Windows Components","Microsoft Edge: Allow user-level native messaging hosts (installed without admin permissions)",Registry,,HKLM:\Software\Policies\Microsoft\Edge,NativeMessagingUserLevelHosts,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edge~Policy~microsoft_edge~NativeMessaging,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edge~Policy~microsoft_edge~NativeMessaging,NativeMessagingUserLevelHosts,,,,1,,0,,=,,Low,
1007,"Administrative Templates: Windows Components","Microsoft Edge: Enable saving passwords to the password manager",Registry,,HKLM:\Software\Policies\Microsoft\Edge,PasswordManagerEnabled,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\Browser,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\Browser,AllowPasswordManager,,,,1,,0,,=,,Low,
1008,"Administrative Templates: Windows Components","Microsoft Edge: Configure Microsoft Defender SmartScreen",Registry,,HKLM:\Software\Policies\Microsoft\Edge,SmartScreenEnabled,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edge~Policy~microsoft_edge~SmartScreen,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edge~Policy~microsoft_edge~SmartScreen,SmartScreenEnabled,,,,0,,1,,=,,Low,
1009,"Administrative Templates: Windows Components","Microsoft Edge: Configure Microsoft Defender SmartScreen to block potentially unwanted apps",Registry,,HKLM:\Software\Policies\Microsoft\Edge,SmartScreenPuaEnabled,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edgev80diff~Policy~microsoft_edge~SmartScreen,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edgev80diff~Policy~microsoft_edge~SmartScreen,SmartScreenPuaEnabled,,,,0,,1,,=,,Low,
1010,"Administrative Templates: Windows Components","Microsoft Edge: Prevent bypassing Microsoft Defender SmartScreen prompts for sites",Registry,,HKLM:\Software\Policies\Microsoft\Edge,PreventSmartScreenPromptOverride,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edge~Policy~microsoft_edge~SmartScreen,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edge~Policy~microsoft_edge~SmartScreen,PreventSmartScreenPromptOverride,,,,,,1,,=,,Low,
1011,"Administrative Templates: Windows Components","Microsoft Edge: Prevent bypassing of Microsoft Defender SmartScreen warnings about downloads",Registry,,HKLM:\Software\Policies\Microsoft\Edge,PreventSmartScreenPromptOverrideForFiles,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edge~Policy~microsoft_edge~SmartScreen,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edge~Policy~microsoft_edge~SmartScreen,PreventSmartScreenPromptOverrideForFiles,,,,0,,1,,=,,Low,
1012,"Administrative Templates: Windows Components","Microsoft Edge: Allow certificates signed using SHA-1 when issued by local trust anchors (deprecated)",Registry,,HKLM:\Software\Policies\Microsoft\Edge,EnableSha1ForLocalAnchors,,,,,,,0,,0,,=,,Low,
1012,"Administrative Templates: Windows Components","Microsoft Edge: Allow Basic authentication for HTTP",Registry,,HKLM:\Software\Policies\Microsoft\Edge,BasicAuthOverHttpEnabled,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\microsoft_edgev88.0.705.23~Policy~microsoft_edge~HTTPAuthentication,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\microsoft_edgev88.0.705.23~Policy~microsoft_edge~HTTPAuthentication,BasicAuthOverHttpEnabled,,,,,,0,,=,,Low,
