ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity
5000,"Office 2016 / Office 365","Microsoft Access: Block macros from running in Office files from the Internet",Registry,,HKCU:\software\policies\microsoft\office\16.0\access\security,blockcontentexecutionfrominternet,,,,,1,=,Medium
5001,"Office 2016 / Office 365","Microsoft Access: Disable Trust Bar Notification for unsigned application add-ins and block them",Registry,,HKCU:\software\policies\microsoft\office\16.0\access\security,notbpromptunsignedaddin,,,,,1,=,Medium
5002,"Office 2016 / Office 365","Microsoft Access: VBA Macro Notification Settings (Policy)",Registry,,HKCU:\software\policies\microsoft\office\16.0\access\security,vbawarnings,,,,2,3,>=,Medium
5227,"Office 2016 / Office 365","Microsoft Access: VBA Macro Notification Settings (Policy) - Require macros to be signed by a trusted publisher",Registry,,HKCU:\software\policies\microsoft\office\16.0\access\security,vbadigsigtrustedpublishers,,,,,1,=,Medium
5003,"Office 2016 / Office 365","Microsoft Access: Allow Trusted Locations on the network",Registry,,"HKCU:\software\policies\microsoft\office\16.0\access\security\trusted locations",allownetworklocations,,,,,0,=,Medium
5010,"Office 2016 / Office 365","Microsoft Excel: Do not show data extraction options when opening corrupt workbooks",Registry,,HKCU:\software\policies\microsoft\office\16.0\excel\options,extractdatadisableui,,,,,1,=,Medium
5011,"Office 2016 / Office 365","Microsoft Excel: Ask to update automatic links",Registry,,HKCU:\software\policies\microsoft\office\16.0\excel\options\binaryoptions,fupdateext_78_1,,,,,0,=,Medium
5012,"Office 2016 / Office 365","Microsoft Excel: Load pictures from Web pages not created in Excel",Registry,,HKCU:\software\policies\microsoft\office\16.0\excel\internet,donotloadpictures,,,,,1,=,Medium
5013,"Office 2016 / Office 365","Microsoft Excel: Disable AutoRepublish",Registry,,HKCU:\software\policies\microsoft\office\16.0\excel\options,disableautorepublish,,,,,1,=,Medium
5014,"Office 2016 / Office 365","Microsoft Excel: Do not show AutoRepublish warning alert",Registry,,HKCU:\software\policies\microsoft\office\16.0\excel\options,disableautorepublishwarning,,,,,0,=,Medium
5015,"Office 2016 / Office 365","Microsoft Excel: Force file extension to match file type",Registry,,HKCU:\software\policies\microsoft\office\16.0\excel\security,extensionhardening,,,,,2,=,Medium
5016,"Office 2016 / Office 365","Microsoft Excel: Scan encrypted macros in Excel Open XML workbooks",Registry,,HKCU:\software\policies\microsoft\office\16.0\excel\security,excelbypassencryptedmacroscan,,,,,0,=,Medium
5017,"Office 2016 / Office 365","Microsoft Excel: Turn off file validation",Registry,,HKCU:\software\policies\microsoft\office\16.0\excel\security\filevalidation,enableonload,,,,,1,=,Medium
5018,"Office 2016 / Office 365","Microsoft Excel: WEBSERVICE Function Notification Settings",Registry,,HKCU:\software\policies\microsoft\office\16.0\excel\security,webservicefunctionwarnings,,,,,1,=,Medium
5232,"Office 2016 / Office 365","Microsoft Excel: Block Excel XLL Add-ins that come from an untrusted source",Registry,,HKCU:\software\policies\microsoft\office\16.0\excel\security,blockxllfrominternet,,,,,1,=,Medium
5019,"Office 2016 / Office 365","Microsoft Excel: Block macros from running in Office files from the Internet",Registry,,HKCU:\Software\Policies\Microsoft\Office\16.0\Excel\Security,blockcontentexecutionfrominternet,,,,0,1,=,Medium
5020,"Office 2016 / Office 365","Microsoft Excel: Disable Trust Bar Notification for unsigned application add-ins and block them",Registry,,HKCU:\software\policies\microsoft\office\16.0\excel\security,notbpromptunsignedaddin,,,,,1,=,Medium
5021,"Office 2016 / Office 365","Microsoft Excel: VBA Macro Notification Settings (Policy)",Registry,,HKCU:\Software\Policies\Microsoft\Office\16.0\Excel\Security,vbawarnings,,,,2,3,>=,Medium
