ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity
6000,"Office 2016 / Office 365","IE Security: Add-on Management (Excel)",Registry,,"HKLM:\software\microsoft\internet explorer\main\featurecontrol\feature_addon_management",excel.exe,,,,,1,=,Medium
6001,"Office 2016 / Office 365","IE Security: Add-on Management (Expression Web Designer)",Registry,,"HKLM:\software\microsoft\internet explorer\main\featurecontrol\feature_addon_management",exprwd.exe,,,,,1,=,Medium
6002,"Office 2016 / Office 365","IE Security: Add-on Management (Groove)",Registry,,"HKLM:\software\microsoft\internet explorer\main\featurecontrol\feature_addon_management",groove.exe,,,,,1,=,Medium
6003,"Office 2016 / Office 365","IE Security: Add-on Management (Access)",Registry,,"HKLM:\software\microsoft\internet explorer\main\featurecontrol\feature_addon_management",msaccess.exe,,,,,1,=,Medium
6004,"Office 2016 / Office 365","IE Security: Add-on Management (Script Editor)",Registry,,"HKLM:\software\microsoft\internet explorer\main\featurecontrol\feature_addon_management",mse7.exe,,,,,1,=,Medium
6005,"Office 2016 / Office 365","IE Security: Add-on Management (Publisher)",Registry,,"HKLM:\software\microsoft\internet explorer\main\featurecontrol\feature_addon_management",mspub.exe,,,,,1,=,Medium
6006,"Office 2016 / Office 365","IE Security: Add-on Management (OneNote)",Registry,,"HKLM:\software\microsoft\internet explorer\main\featurecontrol\feature_addon_management",onenote.exe,,,,,1,=,Medium
6007,"Office 2016 / Office 365","IE Security: Add-on Management (Outlook)",Registry,,"HKLM:\software\microsoft\internet explorer\main\featurecontrol\feature_addon_management",outlook.exe,,,,,1,=,Medium
6008,"Office 2016 / Office 365","IE Security: Add-on Management (PowerPoint)",Registry,,"HKLM:\software\microsoft\internet explorer\main\featurecontrol\feature_addon_management",powerpnt.exe,,,,,1,=,Medium
6009,"Office 2016 / Office 365","IE Security: Add-on Management (PowerPoint Viewer)",Registry,,"HKLM:\software\microsoft\internet explorer\main\featurecontrol\feature_addon_management",pptview.exe,,,,,1,=,Medium
