ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,RegistryPathIntune,RegistryPathDCP,RegistryItemIntune,ClassName,Namespace,Property,DefaultValue,DefaultValueIntune,RecommendedValue,RecommendedValueIntune,Operator,OperatorIntune,Severity,Filter
10000,"Account Policies","Account lockout duration",accountpolicy,,,,,,,,,,30,,15,,>=,,Low,
10001,"Account Policies","Account lockout threshold",accountpolicy,,,,,,,,,,Never,,3,,<=,,Low,
10003,"Account Policies","Allow Administrator account lockout",secedit,"System Access\AllowAdministratorLockout",,,,,,,,,1,,1,,=,,Medium,
10002,"Account Policies","Reset account lockout counter",accountpolicy,,,,,,,,,,30,,15,,>=,,Low,
10100,"Account Policies","Length of password history maintained",accountpolicy,,,,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\DeviceLock,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\DeviceLock,DevicePasswordHistory,,,,None,,24,,>=,,Low,
10101,"Account Policies","Minimum password length",accountpolicy,,,,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\DeviceLock,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\DeviceLock,MinDevicePasswordLength,,,,0,,14,,>=,,Medium,
10102,"Account Policies","Password must meet complexity requirements",secedit,"System Access\PasswordComplexity",,,,,,,,,0,,1,,=,,Medium,
10103,"Account Policies","Store passwords using reversible encryption",secedit,"System Access\ClearTextPassword",,,,,,,,,0,,0,,=,,High,
10200,"Security Options","Accounts: Limit local account use of blank passwords to console logon only",Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,LimitBlankPasswordUse,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\LocalPoliciesSecurityOptions,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\LocalPoliciesSecurityOptions,Accounts_LimitLocalAccountUseOfBlankPasswordsToConsoleLogonOnly,,,,1,,1,,=,,Medium,
10201,"Security Options","Audit: Force audit policy subcategory settings to override audit policy category settings",Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,SCENoApplyLegacyAuditPolicy,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\LocalPoliciesSecurityOptions,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\LocalPoliciesSecurityOptions,Audit_ForceAuditPolicySubcategorySettingsToOverrideAuditPolicyCategorySettings,,,,1,,1,,=,,Low,
10232,"Security Options","Domain controller: LDAP server channel binding token requirements",Registry,,HKLM:\System\CurrentControlSet\Services\NTDS\Parameters,LdapEnforceChannelBinding,,,,,,,1,,2,,=,,Medium,
