Id,CategoryEN,NameEN,Language,Category,Name
1621,".NET Framework: TLS Settings","Use Strong Crypto  (v2.0.50727)",,,
1619,".NET Framework: TLS Settings","Use Strong Crypto  (v2.0.50727, 32bit)",,,
1617,".NET Framework: TLS Settings","Use Strong Crypto  (v4.0.30319)",,,
1615,".NET Framework: TLS Settings","Use Strong Crypto  (v4.0.30319, 32bit)",,,
1620,".NET Framework: TLS Settings","Use System Default TLS Versions (v2.0.50727)",,,
1618,".NET Framework: TLS Settings","Use System Default TLS Versions (v2.0.50727, 32bit)",,,
1616,".NET Framework: TLS Settings","Use System Default TLS Versions (v4.0.30319)",,,
1614,".NET Framework: TLS Settings","Use System Default TLS Versions (v4.0.30319, 32bit)",,,
2,"Account Policies","Account lockout duration",DE,Kontorichtlinien,Kontosperrungsdauer
3,"Account Policies","Account lockout threshold",DE,Kontorichtlinien,Kontosperrungsschwelle
1695,"Account Policies","Allow Administrator account lockout",,,
338,"Account Policies","Length of password history maintained",DE,Kontorichtlinien,"Kennwortchronik erzwingen"
339,"Account Policies","Maximum password age",DE,Kontorichtlinien,"Maximales Kennwortalter"
340,"Account Policies","Minimum password age",DE,Kontorichtlinien,"Minimales Kennwortalter"
341,"Account Policies","Minimum password length",DE,Kontorichtlinien,"Minimale Kennwortlänge"
342,"Account Policies","Password must meet complexity requirements",DE,Kontorichtlinien,"Kennwort muss Komplexitätsvoraussetzungen entsprechen"
343,"Account Policies","Relax minimum password length limits",,,
4,"Account Policies","Reset account lockout counter",DE,Kontorichtlinien,"Zurücksetzungsdauer des Kontosperrungszählers"
344,"Account Policies","Store passwords using reversible encryption",DE,Kontorichtlinien,"Kennwort mit umkehrbarer Verschlüsselung speichern"
1667,"Administrative Templates","Printers: Allow Print Spooler to accept client connections",,,
1668,"Administrative Templates","Printers: Point and Print Restrictions: When installing drivers for a new connection",,,
1669,"Administrative Templates","Printers: Point and Print Restrictions: When updating drivers for an existing connection",,,
530,"Administrative Templates: Control Panel","Allow Online Tips",DE,"Administrative Vorlagen: Systemsteuerung","Onlinetipps zulassen"
735,"Administrative Templates: Control Panel","Enable screen saver",DE,"Administrative Vorlagen: Systemsteuerung","Bildschirmschoner aktivieren"
801,"Administrative Templates: Control Panel","Force specific screen saver: Screen saver executable name",DE,"Administrative Vorlagen: Systemsteuerung","Bestimmten Bildschirmschoner erzwingen"
736,"Administrative Templates: Control Panel","Password protect the screen saver",DE,"Administrative Vorlagen: Systemsteuerung","Kennwortschutz für den Bildschirmschoner verwenden"
98,"Administrative Templates: Control Panel","Personalization: Prevent enabling lock screen camera",DE,"Administrative Vorlagen: Systemsteuerung","Anpassung: Aktivieren der Sperrbildschirmkamera verhindern"
528,"Administrative Templates: Control Panel","Personalization: Prevent enabling lock screen slide show",DE,"Administrative Vorlagen: Systemsteuerung","Anpassung: Aktivieren der Diashow auf dem Sperrbildschirm verhindern"
529,"Administrative Templates: Control Panel","Regional and Language Options: Allow users to enable online speech recognition services",DE,"Administrative Vorlagen: Systemsteuerung","Regions- und Sprachoptionen: Aktivierung von Online-Spracherkennungsdiensten durch den Benutzer zulassen"
1551,"Administrative Templates: Control Panel","Regional and Language Options: Handwriting personalization: Turn off automatic learning (RestrictImplicitInkCollection)",DE,"Administrative Vorlagen: Systemsteuerung","Regions- und Sprachanpassung: Handschriftanpassung: Automatisches Lernen deaktivieren (RestrictImplicitInkCollection)"
1552,"Administrative Templates: Control Panel","Regional and Language Options: Handwriting personalization: Turn off automatic learning (RestrictImplicitTextCollection)",DE,"Administrative Vorlagen: Systemsteuerung","Regions- und Sprachanpassung: Handschriftanpassung: Automatisches Lernen deaktivieren (RestrictImplicitTextCollection)"
737,"Administrative Templates: Control Panel","Screen saver timeout",DE,"Administrative Vorlagen: Systemsteuerung","Zeitlimit für Bildschirmschoner"
532,"Administrative Templates: LAPS","Do not allow password expiration time longer than required by policy",,,
785,"Administrative Templates: LAPS","Do not allow password expiration time longer than required by policy (Member)",,,
533,"Administrative Templates: LAPS","Enable local admin password management",,,
786,"Administrative Templates: LAPS","Enable local admin password management (Member)",,,
531,"Administrative Templates: LAPS","LAPS AdmPwd GPO Extension / CSE",,,
784,"Administrative Templates: LAPS","LAPS AdmPwd GPO Extension / CSE (Member)",,,
536,"Administrative Templates: LAPS","Password Settings: Password Age (Days)",,,
789,"Administrative Templates: LAPS","Password Settings: Password Age (Days) (Member)",,,
534,"Administrative Templates: LAPS","Password Settings: Password Complexity",,,
787,"Administrative Templates: LAPS","Password Settings: Password Complexity (Member)",,,
535,"Administrative Templates: LAPS","Password Settings: Password Length",,,
788,"Administrative Templates: LAPS","Password Settings: Password Length (Member)",,,
1666,"Administrative Templates: Network","DNS Client: Configure DNS over HTTPS (DoH) name resolution",,,
1697,"Administrative Templates: Network","DNS Client: Configure NetBIOS settings",,,
99,"Administrative Templates: Network","DNS Client: Turn off multicast name resolution (LLMNR)",DE,"Administrative Vorlagen: Netzwerk","DNS-Client: Multicastnamensauflösung deaktivieren (LLMNR)"
568,"Administrative Templates: Network","Disable IPv6",,,
553,"Administrative Templates: Network","Fonts: Enable Font Providers",DE,"Administrative Vorlagen: Netzwerk","Schriftarten: Schriftartenanbieter aktivieren"
100,"Administrative Templates: Network","Lanman Workstation: Enable insecure guest logons",DE,"Administrative Vorlagen: Netzwerk","LanMan-Arbeitsstation: Unsichere Gastanmeldungen aktivieren"
556,"Administrative Templates: Network","Link-Layer Topology Discovery: Turn on Mapper I/O (LLTDIO) driver (AllowLLTDIOOnPublicNet)",DE,"Administrative Vorlagen: Netzwerk","Verbindungsschicht-Topologieerkennung: Treiber für die Zuordnungs-E/A (LLTDIO) aktivieren (AllowLLTDIOOnPublicNet)"
555,"Administrative Templates: Network","Link-Layer Topology Discovery: Turn on Mapper I/O (LLTDIO) driver (AllowLLTDIOOndomain)",DE,"Administrative Vorlagen: Netzwerk","Verbindungsschicht-Topologieerkennung: Treiber für die Zuordnungs-E/A (LLTDIO) aktivieren (AllowLLTDIOOndomain)"
557,"Administrative Templates: Network","Link-Layer Topology Discovery: Turn on Mapper I/O (LLTDIO) driver (EnableLLTDIO)",DE,"Administrative Vorlagen: Netzwerk","Verbindungsschicht-Topologieerkennung: Treiber für die Zuordnungs-E/A (LLTDIO) aktivieren (EnableLLTDIO)"
558,"Administrative Templates: Network","Link-Layer Topology Discovery: Turn on Mapper I/O (LLTDIO) driver (ProhibitLLTDIOOnPrivateNet)",DE,"Administrative Vorlagen: Netzwerk","Verbindungsschicht-Topologieerkennung: Treiber für die Zuordnungs-E/A (LLTDIO) aktivieren (ProhibitLLTDIOOnPrivateNet)"
563,"Administrative Templates: Network","Network Connections: Prohibit installation and configuration of Network Bridge on your DNS domain network",DE,"Administrative Vorlagen: Netzwerk","Netzwerkverbindungen: Installation und Konfiguration der Netzwerkbridge im eigenen DNS-Domänennetzwerk nicht zulassen"
564,"Administrative Templates: Network","Network Connections: Prohibit use of Internet Connection Sharing on your DNS domain network",DE,"Administrative Vorlagen: Netzwerk","Netzwerkverbindungen: Verwendung der gemeinsam genutzten Internetverbindung im eigenen DNS-Domänennetzwerk nicht zulassen"
565,"Administrative Templates: Network","Network Connections: Require domain users to elevate when setting a network's location",DE,"Administrative Vorlagen: Netzwerk","Netzwerkverbindungen: Höhere Rechte von Domänenbenutzern beim Festlegen einer Netzwerkadresse anfordern"
566,"Administrative Templates: Network","Network Provider: Hardened UNC Paths (NETLOGON)",DE,"Administrative Vorlagen: Netzwerk","Netzwerkanbieter: Gehärtete UNC-Pfade (NETLOGON)"
567,"Administrative Templates: Network","Network Provider: Hardened UNC Paths (SYSVOL)",DE,"Administrative Vorlagen: Netzwerk","Netzwerkanbieter: Gehärtete UNC-Pfade (SYSVOL)"
1328,"Administrative Templates: Network","SSL Configuration Settings: ECC Curve Order",,,
1602,"Administrative Templates: Network","SSL Configuration Settings: SSL Cipher Suite Order",,,
101,"Administrative Templates: Network","Turn off Microsoft Peer-to-Peer Networking Services",DE,"Administrative Vorlagen: Netzwerk","Microsoft Peer-zu-Peer-Netzwerkdienste deaktivieren"
559,"Administrative Templates: Network","Turn on Responder (RSPNDR) driver (AllowRspndrOnDomain)",DE,"Administrative Vorlagen: Netzwerk","Treiber für den Beantworter (RSPNDR) aktivieren (AllowRspndrOnDomain)"
560,"Administrative Templates: Network","Turn on Responder (RSPNDR) driver (AllowRspndrOnPublicNet)",DE,"Administrative Vorlagen: Netzwerk","Treiber für den Beantworter (RSPNDR) aktivieren (AllowRspndrOnPublicNet)"
561,"Administrative Templates: Network","Turn on Responder (RSPNDR) driver (EnableRspndr)",DE,"Administrative Vorlagen: Netzwerk","Treiber für den Beantworter (RSPNDR) aktivieren (EnableRspndr)"
562,"Administrative Templates: Network","Turn on Responder (RSPNDR) driver (ProhibitRspndrOnPrivateNet)",DE,"Administrative Vorlagen: Netzwerk","Treiber für den Beantworter (RSPNDR) aktivieren (ProhibitRspndrOnPrivateNet)"
102,"Administrative Templates: Network","WLAN Settings: Allow Windows to automatically connect to suggested open hotspots, to networks shared by contacts, and to hotspots offering paid services",DE,"Administrative Vorlagen: Netzwerk","WLAN-Einstellungen: Zulassen, dass Windows automatisch eine Verbindung mit vorgeschlagenen öffentlichen Hotspots, von Kontakten freigegebenen Netzwerken und kostenpflichtigen Hotspots herstellt"
572,"Administrative Templates: Network","Windows Connect Now: Configuration of wireless settings using Windows Connect Now (DisableFlashConfigRegistrar)",DE,"Administrative Vorlagen: Netzwerk","Windows-Sofortverbindung: Konfiguration von Drahtloseinstellungen mit Windows-Sofortverbindung (DisableFlashConfigRegistrar)"
571,"Administrative Templates: Network","Windows Connect Now: Configuration of wireless settings using Windows Connect Now (DisableInBand802DOT11Registrar)",DE,"Administrative Vorlagen: Netzwerk","Windows-Sofortverbindung: Konfiguration von Drahtloseinstellungen mit Windows-Sofortverbindung (DisableInBand802DOT11Registrar)"
